	err:EOF while parsing a value at line 1 column 0
2d313630333936343631353432383138333030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:-1.603964615428183e+143
2d312e36303339363436313534323831383365313433	ok:-1.6039646154281832e+143
35333031303032332e313332653233	ok:5.3010023132e+30
2d302e303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303039363433393135373132303630353532	ok:-9.643915712060553e-234
2d392e363433393135373132303630353532652d323334	ok:-9.643915712060553e-234
37323731343337392e333435652d3133	ok:7.2714379345e-6
302e3030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303135383630383436313139393932363937	ok:1.5860846119992694e-265
312e35383630383436313139393932363937652d323635	ok:1.5860846119992694e-265
37323839343637322e313439652d38	ok:0.72894672149
302e303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303037353937393534353234383932373338	ok:7.597954524892738e-84
372e353937393534353234383932373338652d3834	ok:7.597954524892738e-84
32393630383437372e343131653130	ok:2.9608477411e+17
31303230343739363934353733303533383030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:1.0204796945730538e+105
312e3032303437393639343537333035333865313035	ok:1.0204796945730538e+105
37353633333730302e3636652d3131	ok:0.0007563370066
302e30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303131393130353933313736333232393335	ok:1.1910593176322936e-240
312e31393130353933313736333232393335652d323430	ok:1.1910593176322936e-240
34373337303331332e353834652d37	ok:4.7370313584
2d302e303030303030303030303030303030303030303030303030303030303030303031363934393333393133313238363936	ok:-1.694933913128696e-33
2d312e363934393333393133313238363936652d3333	ok:-1.694933913128696e-33
32363935303230362e323734653137	ok:2.6950206274e+24
2d343331363232353231343535313939343430303030303030303030	ok:-4.3162252145519944e+26
2d342e33313632323532313435353139393434653236	ok:-4.3162252145519944e+26
38323330333530352e333230652d33	ok:82303.50532
302e3030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303330323631393939343431353733323033	ok:3.0261999441573207e-52
332e30323631393939343431353733323033652d3532	ok:3.0261999441573207e-52
35333436373835382e3738306535	ok:5346785878000.0
2d302e30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303033323338363936363831343931363631	ok:-3.238696681491661e-139
2d332e323338363936363831343931363631652d313339	ok:-3.238696681491661e-139
39323238313435342e373735653234	ok:9.2281454775e+31
2d383636333732353833373330363234313030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:-8.663725837306242e+290
2d382e36363337323538333733303632343165323930	ok:-8.663725837306241e+290
31323439303130322e3331336533	ok:12490102313.0
2d302e3030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303330373937353236383433323137313435	ok:-3.0797526843217145e-217
2d332e30373937353236383433323137313435652d323137	ok:-3.0797526843217145e-217
34303039373233362e343335653137	ok:4.0097236435e+24
313135353839393233313231383734303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:1.15589923121874e+98
312e3135353839393233313231383734653938	ok:1.15589923121874e+98
333131313339312e323434652d31	ok:311139.1244
2d302e30303030303030303030303030303033383331323936343637333136383839	ok:-3.831296467316889e-16
2d332e383331323936343637333136383839652d3136	ok:-3.831296467316889e-16
34363531373439352e333437653135	ok:4.6517495347e+22
302e3030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303036343636303533383236343332363939	ok:6.4660538264326985e-236
362e343636303533383236343332363939652d323336	ok:6.4660538264326985e-236
38323339313736372e333830652d3233	ok:8.239176738e-16
2d302e303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303231343532383436353430313239363135	ok:-2.1452846540129617e-305
2d322e31343532383436353430313239363135652d333035	ok:-2.1452846540129617e-305
33313739303139312e3739306539	ok:3.179019179e+16
302e30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303131353437393735313235343239383533	ok:1.1547975125429852e-240
312e31353437393735313235343239383533652d323430	ok:1.1547975125429852e-240
31343434323532342e353435652d3139	ok:1.4442524545e-12
302e303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303037323936323637313739343538373531	ok:7.296267179458752e-246
372e323936323637313739343538373531652d323436	ok:7.296267179458752e-246
333533323231322e34376536	ok:3532212470000.0
2d353238303332363437383530363734333430303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:-5.2803264785067434e+137
2d352e3238303332363437383530363734333465313337	ok:-5.2803264785067434e+137
37353232333338362e3436652d3230	ok:7.522338646e-13
3136373332313338393635363836393434303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:1.6732138965686944e+217
312e3637333231333839363536383639343465323137	ok:1.6732138965686944e+217
33323938343234372e353333652d33	ok:32984.247533
302e30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303033393039303736373931323436303235	ok:3.9090767912460256e-46
332e393039303736373931323436303235652d3436	ok:3.9090767912460256e-46
333032323835362e383031652d39	ok:0.003022856801
3133313730363634303531313734313836303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:1.3170664051174186e+133
312e3331373036363430353131373431383665313333	ok:1.3170664051174186e+133
32303237363438342e31366531	ok:202764841.6
3233343731333531353537373836313730303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:2.347135155778617e+214
322e33343731333531353537373836313765323134	ok:2.3471351557786174e+214
313930363934332e343038652d34	ok:190.6943408
2d3339323730333632363532303637353030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:-3.92703626520675e+61
2d332e3932373033363236353230363735653631	ok:-3.92703626520675e+61
36303837323733392e363134652d3132	ok:0.000060872739614
2d302e30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303333373130373934383634313733373033	ok:-3.371079486417371e-159
2d332e33373130373934383634313733373033652d313539	ok:-3.371079486417371e-159
37333035343636302e383139653231	ok:7.3054660819e+28
2d302e3030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303035383734323239303731373030333835	ok:-5.874229071700385e-74
2d352e383734323239303731373030333835652d3734	ok:-5.874229071700385e-74
39313435383435362e363430652d31	ok:9145845.664
2d3730383638393130363334363637323830303030303030303030303030303030303030	ok:-7.086891063466729e+34
2d372e303836383931303633343636373238653334	ok:-7.086891063466728e+34
34303833373832332e333433652d39	ok:0.040837823343
302e30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303038313334373130343831313132313339	ok:8.134710481112139e-49
382e313334373130343831313132313339652d3439	ok:8.134710481112139e-49
37323434313433362e3530652d3136	ok:7.24414365e-9
3237333731393532333833393132303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:2.7371952383912e+283
322e3733373139353233383339313265323833	ok:2.7371952383912003e+283
32303839353435392e3331396538	ok:2089545931900000.0
2d302e303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303033383537313031313731333937343337	ok:-3.857101171397437e-240
2d332e383537313031313731333937343337652d323430	ok:-3.857101171397437e-240
31333730333932302e343935652d3239	ok:1.3703920495e-22
37343732353532373833323135303132303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:7.472552783215011e+123
372e34373235353237383332313530313265313233	ok:7.472552783215012e+123
373533353133332e3933652d38	ok:0.0753513393
2d302e3231383734393838363732313937333933	ok:-0.21874988672197393
2d322e31383734393838363732313937333933652d31	ok:-0.21874988672197393
35323631333438322e333931653134	ok:5.2613482391e+21
302e30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303032323135363033373331373937313735	ok:2.2156037317971749e-91
322e323135363033373331373937313735652d3931	ok:2.2156037317971749e-91
36363635333434342e3637336531	ok:666534446.73
37383431363937383333363235333434303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:7.841697833625344e+111
372e38343136393738333336323533343465313131	ok:7.841697833625344e+111
32343537393638332e3936376536	ok:24579683967000.0
302e3030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303233383033303431393534303133313533	ok:2.3803041954013153e-64
322e33383033303431393534303133313533652d3634	ok:2.3803041954013153e-64
35343039313934342e3639336535	ok:5409194469300.0
302e303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303130363639363433383333343734373639	ok:1.0669643833474769e-194
312e30363639363433383333343734373639652d313934	ok:1.0669643833474769e-194
35373239303831362e333231652d3137	ok:5.7290816321e-10
302e3030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303433393032393937393135323637323834	ok:4.390299791526728e-247
342e33393032393937393135323637323834652d323437	ok:4.390299791526728e-247
37363835303433322e3835386539	ok:7.6850432858e+16
2d302e30303030303030303030303030303030303134323837383730383839373631373138	ok:-1.4287870889761718e-18
2d312e34323837383730383839373631373138652d3138	ok:-1.4287870889761718e-18
38323430343833332e333937652d3238	ok:8.2404833397e-21
3932333939343231383239343033313130303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:9.239942182940311e+226
392e32333939343231383239343033313165323236	ok:9.239942182940312e+226
35343834373030322e353135652d31	ok:5484700.2515
2d343630343934343936323538373234333430303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:-4.6049449625872434e+188
2d342e3630343934343936323538373234333465313838	ok:-4.6049449625872434e+188
32363339373136312e323430653136	ok:2.639716124e+23
373033343836363136333930333131343030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:7.034866163903115e+170
372e30333438363631363339303331313465313730	ok:7.034866163903114e+170
35303337313832352e313035652d3233	ok:5.037182510499999e-16
2d31323939303636343639383532313639323030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:-1.2990664698521692e+171
2d312e3239393036363436393835323136393265313731	ok:-1.2990664698521692e+171
333431353333322e383931653237	ok:3.415332891e+33
353930353638363632393538323831363030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:5.905686629582816e+113
352e39303536383636323935383238313665313133	ok:5.905686629582816e+113
35323336323836332e373936653133	ok:5.2362863796e+20
32393039313635303730343637363037323030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:2.9091650704676072e+72
322e39303931363530373034363736303732653732	ok:2.9091650704676076e+72
38383130343234322e343931652d3233	ok:8.810424249099999e-16
2d32313639323034323632383033353538383030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:-2.169204262803559e+249
2d322e3136393230343236323830333535383865323439	ok:-2.1692042628035588e+249
35373632393537342e343433653236	ok:5.7629574443e+33
302e303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303532393030303031313139343036363234	ok:5.2900001119406624e-86
352e32393030303031313139343036363234652d3836	ok:5.2900001119406624e-86
39343936313532382e3239366530	ok:94961528.296
2d302e3030303030303030303030303030303030303030303030303030303030303030303030303030393439323835363334363930363337	ok:-9.49285634690637e-39
2d392e3439323835363334363930363337652d3339	ok:-9.49285634690637e-39
37373134303331332e3538376530	ok:77140313.587
363933313031353336373234373431303030303030303030303030303030	ok:6.93101536724741e+29
362e3933313031353336373234373431653239	ok:6.93101536724741e+29
393734383438372e373736652d3130	ok:0.0009748487776
2d302e303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303035383832373735323239353037383533	ok:-5.8827752295078525e-264
2d352e383832373735323239353037383533652d323634	ok:-5.8827752295078525e-264
31343835303235362e3835652d3236	ok:1.4850256850000001e-19
3339323932373334383430393639363735303030303030303030303030303030303030303030303030303030303030303030	ok:3.9292734840969675e+49
332e39323932373334383430393639363735653439	ok:3.929273484096967e+49
33363635323131312e3338356531	ok:366521113.85
2d302e32353233393434353332393830303531	ok:-0.2523944532980051
2d322e353233393434353332393830303531652d31	ok:-0.2523944532980051
32333433333132332e33346533	ok:23433123340.0
2d3137393238333434303938343630363937303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:-1.7928344098460697e+217
2d312e3739323833343430393834363036393765323137	ok:-1.7928344098460697e+217
37313036373831332e323236653134	ok:7.1067813226e+21
302e3030303030303030303030303030303030303137383032373139393632393231313637	ok:1.780271996292117e-19
312e37383032373139393632393231313637652d3139	ok:1.780271996292117e-19
37343132323635372e383338653236	ok:7.4122657838e+33
363339333235343739363430303430333030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:6.393254796400404e+134
362e33393332353437393634303034303365313334	ok:6.393254796400403e+134
33333637323834382e373137652d3239	ok:3.3672848716999997e-22
2d302e3030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303033353736323739363438313031373732	ok:-3.576279648101772e-230
2d332e353736323739363438313031373732652d323330	ok:-3.576279648101772e-230
36323132303034372e393933652d3238	ok:6.2120047993e-21
32303831343231303232373330383439353030303030303030303030	ok:2.0814210227308495e+27
322e30383134323130323237333038343935653237	ok:2.0814210227308495e+27
31313230363634332e323233652d3138	ok:1.1206643223e-11
2d33303733343131363133393135353735343030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:-3.0734116139155754e+120
2d332e3037333431313631333931353537353465313230	ok:-3.0734116139155754e+120
32373938393431302e323133652d3132	ok:0.000027989410213
343235313831323139363335393338323030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:4.251812196359382e+236
342e32353138313231393633353933383265323336	ok:4.251812196359382e+236
33313339363737332e3431653134	ok:3.139677341e+21
3537383434363636383738383033393934303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:5.7844666878803994e+97
352e37383434363636383738383033393934653937	ok:5.784466687880399e+97
373238363339382e3139652d3139	ok:7.28639819e-13
2d302e303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303039383637343337303731373236383531	ok:-9.867437071726853e-60
2d392e383637343337303731373236383531652d3630	ok:-9.867437071726853e-60
35323337363235372e363632653130	ok:5.2376257662e+17
2d302e30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303031383931323231333035333636393331	ok:-1.8912213053669312e-187
2d312e383931323231333035333636393331652d313837	ok:-1.8912213053669312e-187
32373034333636332e3130366533	ok:27043663106.0
3231383337373232373537313133363030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:2.1837722757113598e+181
322e313833373732323735373131333665313831	ok:2.18377227571136e+181
363937353833372e363937652d3231	ok:6.9758376970000004e-15
31343533353034373237373332313831363030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:1.4535047277321816e+111
312e3435333530343732373733323138313665313131	ok:1.4535047277321816e+111
39393438383539352e3937396539	ok:9.9488595979e+16
2d31363436353739393036393237383230333030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:-1.6465799069278203e+258
2d312e3634363537393930363932373832303365323538	ok:-1.6465799069278205e+258
33323238353132342e333635653131	ok:3.2285124365e+18
2d302e30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303035393537343636313331393938363438	ok:-5.957466131998648e-115
2d352e393537343636313331393938363438652d313135	ok:-5.957466131998648e-115
39383734363036372e323930652d3230	ok:9.874606729000002e-13
36333430323632383939353938313934303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:6.340262899598194e+81
362e333430323632383939353938313934653831	ok:6.3402628995981936e+81
31313635343133382e3736316531	ok:116541387.61
35353030333831373931353831303939303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:5.500381791581099e+66
352e353030333831373931353831303939653636	ok:5.500381791581099e+66
37353037333233392e313636652d3236	ok:7.5073239166e-19
353636313530363930323635353038363030303030303030303030303030303030303030303030303030	ok:5.661506902655085e+41
352e363631353036393032363535303836653431	ok:5.661506902655086e+41
33393838393630382e343334652d32	ok:398896.08434
302e30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303032383630383135393831323831313532	ok:2.8608159812811523e-202
322e383630383135393831323831313532652d323032	ok:2.8608159812811523e-202
33383037333837322e353630652d3231	ok:3.807387256e-14
2d3331383630323834343430333838343230303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:-3.1860284440388415e+55
2d332e313836303238343434303338383432653535	ok:-3.186028444038842e+55
37393030323639362e343031652d3133	ok:7.9002696401e-6
302e30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303135313230343932323037383834333836	ok:1.5120492207884386e-147
312e35313230343932323037383834333836652d313437	ok:1.5120492207884386e-147
33353637353932342e373032652d33	ok:35675.924702
302e3030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303035383039363332343037323539373631	ok:5.80963240725976e-113
352e383039363332343037323539373631652d313133	ok:5.80963240725976e-113
32343030373834372e3939376538	ok:2400784799700000.0
302e30303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303136323836373231343932353734383232	ok:1.628672149257482e-273
312e36323836373231343932353734383232652d323733	ok:1.628672149257482e-273
36323635353232372e3338306533	ok:62655227380.0
2d302e30303030303234333238373134323430383331303638	ok:-2.4328714240831068e-6
2d322e34333238373134323430383331303638652d36	ok:-2.4328714240831068e-6
32343836323437312e393230652d31	ok:2486247.192
2d3632373533363730383430373236333430303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:-6.2753670840726345e+274
2d362e32373533363730383430373236333465323734	ok:-6.275367084072634e+274
39363337393833312e3132386532	ok:9637983112.8
302e3030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030333239333231333138363539323837	ok:3.2932131865928703e-105
332e3239333231333138363539323837652d313035	ok:3.2932131865928703e-105
39333936383834362e3334316532	ok:9396884634.1
35333332363338333738383737303333303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:5.332638378877033e+75
352e333332363338333738383737303333653735	ok:5.3326383788770326e+75
39373333353737332e3732652d3233	ok:9.733577371999999e-16
323235373937313030363037373636373730303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:2.2579710060776677e+209
322e3235373937313030363037373636373765323039	ok:2.2579710060776677e+209
34333538353237362e3530346538	ok:4358527650400000.0
2d302e3030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303231343230353731363236373238353334	ok:-2.1420571626728537e-73
2d322e31343230353731363236373238353334652d3733	ok:-2.1420571626728537e-73
36363831323935332e323931652d3132	ok:0.000066812953291
2d31313939353938303134393931353939353030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030	ok:-1.1995980149915993e+234
2d312e3139393539383031343939313539393565323334	ok:-1.1995980149915997e+234
36313039343833332e383731653236	ok:6.1094833871e+33
2d302e3030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030323839353134393634313336303438	ok:-2.89514964136048e-54
2d322e3839353134393634313336303438652d3534	ok:-2.89514964136048e-54
31343431333830342e3234653234	ok:1.441380424e+31
